dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;22706;26075;31.33;;26075;7089
;23076;27060;32.25;;27060;7065
;22863;25766;31.55;;25766;7066
;22613;21939;36.83;;21939;5090
;21835;29458;21.72;;29458;6079
;24096;22847;25.6;;22847;6097
;24176;30896;27.01;;30896;7108
;23683;28983;29.81;;28983;7094
;22659;21842;35.67;;21842;5092
;21293;20451;40.9;;20451;6066
;25276;24283;26.74;;24283;6981
;25699;25603;15.46;;25603;6938
;24914;24455;19.41;;24455;6942
;23443;24249;30.25;;24249;7008
;22604;26471;27.35;;26471;6030
;21955;23922;23.27;;23922;5048
;22671;26153;24.52;;26153;5095
;22348;26225;19.59;;26225;5095
;20601;24498;22.61;;24498;5049
;20514;25098;29.05;;25098;5101
;21792;21990;32.29;;21990;5097
;22444;20980;33.27;;20980;5094
;22687;24221;31.31;;24221;5093
;22647;23201;31.11;;23201;5090
;22538;23622;30.86;;23622;5086
;21015;25935;21.91;;25935;5086
;21112;21390;30.57;;21390;5089
;22330;20918;40.55;;20918;5092
;22870;21801;36.02;;21801;5092
;23130;20049;43.46;;20049;5089
;23255;20459;47.16;;20459;5087
;22916;20469;31.4;;20469;5856
;20693;28060;21.58;;28060;6057
;20956;20759;37.13;;20759;6066
;22626;20787;42.79;;20787;6074
;21541;31343;39.32;;31343;6084
;24120;23493;42.11;;23493;5814
;22563;26469;46.55;;26469;7109
;23669;28549;51.49;;28549;7097
;22765;23359;47;;23359;5093
;21606;20214;48.15;;20214;6066
;25474;25239;50.57;;25239;6978
;24438;23427;41.96;;23427;6914
;26674;26412;43;;26412;6746
;23443;24737;45.5;;24737;7003
;20632;24980;40.28;;24980;6038
;22840;21969;47.4;;21969;5055
;22489;25358;39.48;;25358;7045
;24724;24755;38.93;;24755;7042
;24861;26576;31.71;;26576;7051
;23977;24692;33.73;;24692;7069
;23577;22920;48.38;;22920;7073
;23250;21463;42.58;;21463;7003
;21529;21683;36.83;;21683;6652
;21893;20668;41.39;;20668;6903
;23714;22666;45.76;;22666;7025
;24494;24408;44.37;;24408;7008
;24599;24837;38.01;;24837;7011
;24432;22909;44.83;;22909;6993
;24053;24201;40.85;;24201;6983
;22353;27055;32.61;;27055;6984
;22700;23138;34.99;;23138;7001
;24841;25538;43.6;;25538;6996
;25346;25547;45.98;;25547;6979
;25313;24858;47.93;;24858;6617
;21381;30622;47.41;;30622;6072
;22413;27432;42.13;;27432;3837
;22965;29348;39.09;;29348;7110
;23466;29616;39.27;;29616;7098
;22571;23786;44.73;;23786;5089
;23341;21431;42.47;;21431;6066
;25780;24716;46.2;;24716;6978
;22932;26040;47.67;;26040;6649
;27669;28174;45.55;;28174;6749
;23219;24276;45.07;;24276;7008
;20771;21425;39.62;;21425;5044
;22235;22561;41.11;;22561;5061
;26269;25852;37.94;;25852;6990
;25401;26909;35.59;;26909;7023
;25250;26495;35.16;;26495;7038
;24492;24220;38.81;;24220;7031
;22673;21843;44.13;;21843;6971
;23462;23732;39.43;;23732;7016
;25518;26514;40.6;;26514;7008
;26413;25035;40.14;;25035;6971
;26469;25144;44.07;;25144;6965
;26254;24537;39.52;;24537;6963
;25352;24864;38.98;;24864;6993
;23197;24404;38.66;;24404;6991
;23582;24130;38.76;;24130;6974
;25651;25487;39.25;;25487;6969
;26486;26394;38.99;;26394;6955
;26260;25008;39.25;;25008;6952
;26478;25700;43.22;;25700;6950
;25907;23538;49.77;;23538;6942
;24137;23222;40.2;;23222;6937
;23985;30862;40.92;;30862;6069
;22401;27866;40.04;;27866;3963
;24825;29760;43.08;;29760;7113
;23669;30723;45.78;;30723;7096
;20461;24947;39.46;;24947;5085
;23933;22541;40.82;;22541;6203
;25535;22564;36.98;;22564;6969
;22866;23986;36.82;;23986;6899
;26621;25815;42.3;;25815;6932
